HostName,SerialNumber,OS,Brand,Model,isLaptop
BOG1-WFH-1036,DTZ0SAA0018390D7FF7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2229,DTZ0SAA001838133617600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2328,DTZ0SAA0018281493C7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2236,DTZ0SAA001828148C67600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2158, DTZ0SAA0018381329F7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2012,DTZ0SAA001828149E17600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2072,DTZ0SAA0018381332E7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2146,DTZ0SAA001838133B67600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2104,DTZ0SAA00184608C647600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2291,DTZ0SAA0018212608F7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2118,DTZ0SAA001828149AA7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2122,DTZ0SAA001821260BF7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2231,DTZ0SAA001821261027600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2247,DTZ0SAA00182814A107600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2232,DTZ0SAA0018470A9BC7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2230,DTZ0SAA00182814A0C7600,Chrome,Acer,Chrome Acer,NO
