HostName,SerialNumber,OS,Brand,Model,isLaptop
BOG1-CH03-W,4C2L7X2,Windows,Dell,Optiplex 7040,NO
BOG1-WFH-3145,3HMP7X2,Windows,Dell,Optiplex 7041,NO
BOG1-CA05-W,J6XXZV2,Windows,Dell,Optiplex 7042,NO
BOG1-WFH-3192,1SSL423,Windows,Dell,Optiplex 7043,NO
BOG1-WFH-4336,8CG8354XSB,Windows,Dell,Optiplex 7044,NO
BOG1-WFH-4244,8CG8311VJW,Windows,Dell,Optiplex 7045,NO
BOG1-WFH-4355,8CG8325DN1,Windows,Dell,Optiplex 7046,NO
BOG1-WFH-4190,8CG8343K84,Windows,Dell,Optiplex 7047,NO
BOG1-WFH-4360,8CG824B2TP,Windows,Dell,Optiplex 7048,NO
BOG1-WFH-3476,4BWQ7X2,Windows,Dell,Optiplex 7049,NO
BOG1-WFH-3237,16R1H63,Windows,Dell,Optiplex 7050,NO
BOG1-CI09-W,9J6Y7X2,Windows,Dell,Optiplex 7051,NO
BOG1-TR1-17,84W23W2,Windows,Dell,Optiplex 7052,NO
BOG1-TR1-06,85043W2,Windows,Dell,Optiplex 7053,NO
BOG1-WFH-3684,4VWRB3,Windows,Dell,Optiplex 7054,NO
BOG1-WFH-3359,JSSL423,Windows,Dell,Optiplex 7055,NO
BOG1-CG04-W,4CGR7X2,Windows,Dell,Optiplex 7056,NO
BOG1-TR2-12,9J6X7X2,Windows,Dell,Optiplex 7057,NO
BOG1-WFH-3037,9T1L613,Windows,Dell,Optiplex 7058,NO
BOG1-CC09-W,3J3L7X2,Windows,Dell,Optiplex 7059,NO
BOG1-REN0015,2UA6521Q9G,Windows,Dell,Optiplex 7060,NO
BOG1-REN0016,2UA62532CZ,Windows,Dell,Optiplex 7061,NO
BOG1-REN0008,MXL7072FJM,Windows,Dell,Optiplex 7062,NO
BOG1-REN0011,2UA6442JCM,Windows,Dell,Optiplex 7063,NO
BOG1-REN0038,2UA70519H6,Windows,Dell,Optiplex 7064,NO
BOG1-REN0040,2UA62531TV,Windows,Dell,Optiplex 7065,NO
BOG1-REN0012,MXL4321YRB,Windows,Dell,Optiplex 7066,NO
BOG1-REN0042,MXL63123YC,Windows,Dell,Optiplex 7067,NO
BOG1-REN0007,2UA71119SD,Windows,Dell,Optiplex 7068,NO
BOG1-REN0010,2UA6362Q4Y,Windows,Dell,Optiplex 7069,NO
BOG1-REN0018,2UA636287P,Windows,Dell,Optiplex 7070,NO
BOG1-REN0019,MXL7072FMB,Windows,Dell,Optiplex 7071,NO
BOG1-REN0009,2UA6222NGF,Windows,Dell,Optiplex 7072,NO
BOG1-REN0014,MXL64627C7,Windows,Dell,Optiplex 7073,NO
BOG1-REN0031,MXL63113XG,Windows,Dell,Optiplex 7074,NO
BOG1-REN0026,MXL64628H0,Windows,Dell,Optiplex 7075,NO
BOG1-REN0100,2UA63728NN,Windows,Dell,Optiplex 7076,NO
BOG1-REN0005,2UA7091NFV,Windows,Dell,Optiplex 7077,NO
BOG1-REN0013,MXL63728RC,Windows,Dell,Optiplex 7078,NO
BOG1-WFH-3029,FSSL423,Windows,Dell,Optiplex 7079,NO
BOG1-WFH-3188,CBHWHV2,Windows,Dell,Optiplex 7080,NO
BOG1-WFH-312,3HSL423,Windows,Dell,Optiplex 7081,NO
BOG1-WFH-008,9JGS7X2,Windows,Dell,Optiplex 7082,NO
BOG1-WFH-3688,GZTWRB3,Windows,Dell,Optiplex 7083,NO
BOG1-WFH-2364,J6PZZV2,Windows,Dell,Optiplex 7084,NO
BOG1-WFH-3698,84VWRB3,Windows,Dell,Optiplex 7085,NO
BOG1-WFH-4521,9JBX7X2,Windows,Dell,Optiplex 7086,NO
BOG1-TR1-11,J6V00W2,Windows,Dell,Optiplex 7087,NO
