SerialNumber,HostName,OS,Brand,Model,isLaptop
2UA72026V1,BOG1-WFH-4317,Windows,DELL,Optiplex 3070,NO
2X0K7M2,MDE1-WFH-0032,Windows,DELL,Optiplex 3071,NO
2M0Y0M2,BGA1-WFH-0114,Windows,DELL,Optiplex 3072,NO
61528M2,BOG1-WFH-4083,Windows,DELL,Optiplex 3073,NO
DTZ0SAA001821260B07600,BOG1-WFH-2319,Windows,DELL,Optiplex 3074,NO
DTZ0SAA0018390D8C07600,BOG1-WFH-1062,Windows,DELL,Optiplex 3075,NO
PF1RQW0N,BOG1-LAPTOP14,Windows,DELL,Optiplex 3076,NO
CSDCJV2,BOG1-DA03-W,Windows,DELL,Optiplex 3077,NO
812HHL2,CLO1-WFH-0080,Windows,DELL,Optiplex 3078,NO
PF1RQVZF,BOG1-LAPTOP11,Windows,DELL,Optiplex 3079,NO
9JKW7X2,BOG1-WFH-2335,Windows,DELL,Optiplex 3080,NO
FLJ2CG2,BOG1-LAPTOP52,Windows,DELL,Optiplex 3081,NO
86C5Y12,BOG1-WFH-4444,Windows,DELL,Optiplex 3082,NO
CBS0JV2,BOG1-TR4-08,Windows,DELL,Optiplex 3083,NO
15Y7XM2,BOG1-WFH-4064,Windows,DELL,Optiplex 3084,NO
B4HPBM2,BGA1-WFH-0011,Windows,DELL,Optiplex 3085,NO
B4RRBM2,BOG1-WFH-4121,Windows,DELL,Optiplex 3086,NO
J6X60W2,BOG1-WFH-2332,Windows,DELL,Optiplex 3087,NO
4VDSHK2,BGA1-WFH-0009,Windows,DELL,Optiplex 3088,NO
HLTQLN1,CLO1-WFH-0045,Windows,DELL,Optiplex 3089,NO
9JGY7X2,BOG1-TR2-11,Windows,DELL,Optiplex 3090,NO
C24V282,BOG1-WFH-4535,Windows,DELL,Optiplex 3091,NO
7MSMHL2,BGA1-WFH-0013,Windows,DELL,Optiplex 3092,NO
84V23W2,BOG1-WFH-3023,Windows,DELL,Optiplex 3093,NO
4C0Q7X2,BOG1-WFH-3341,Windows,DELL,Optiplex 3094,NO
16Q5H63,BOG1-WFH-3418,Windows,DELL,Optiplex 3095,NO
9ZRYG02,BOG1-WFH-4421,Windows,DELL,Optiplex 3096,NO
3KMS0M2,CLO1-WFH-0009,Windows,DELL,Optiplex 3097,NO
C1S6HK2,BOG1-WFH-4029,Windows,DELL,Optiplex 3098,NO
6WBD9Y1,BOG1-WFH-4534,Windows,DELL,Optiplex 3099,NO
DTZ0SAA0018320DCE07600,BOG1-WFH-2091,Windows,DELL,Optiplex 3100,NO
5FSL423,BOG1-WFH-3398,Windows,DELL,Optiplex 3101,NO
7S810M2,CLO1-WFH-0062,Windows,DELL,Optiplex 3102,NO
