HostName,SerialNumber,OS,Brand,Model,isLaptop
BOG1-WFH-2304 ,DTZ0SAA0018470AC1E7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2134,DTZ0SAA001838133137500,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2290,DTZ0SAA0018212611B7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1091,DTZ0SAA0018390FF727600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2297,DTZ0SAA001821260307600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2055,DTZ0SAA001838133C67600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2325,DTZ0SAA001821260D97600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1058,DTZ0SAA0018390FEA17600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1047,DTZ0SAA0018390FF147600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1082,DTZ0SAA0018390D87C7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2175,DTZ0SAA001838132B77600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2140,DTZ0SAA001821260AB7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1006,DTZ0SAA0018390FED97600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2062,DTZ0SAA0018390D80C7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1080,DTZ0SAA0018390D8967600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2289,DTZ0SAA00184608BF27600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2116,DTZ0SAA001828149A07600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2176,DDTZ0SAA00138132C87600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2103,DTZ0SAA001821260DD7600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-2160,DTZ0SAA001821260827600,Chrome,Acer,Chrome Acer,NO
BOG1-WFH-1022,DTZ0SAA0018390D87B7600,Chrome,Acer,Chrome Acer,NO
