SerialNumber,HostName,OS,Brand,Model,isLaptop
FJVQHK2,MDE1-WFH-0036,Windows,DELL,Optiplex 3070,NO
4G8MRD2,MDE1-WFH-0112,Windows,DELL,Optiplex 3070,NO
CBC3MN2,MDE1-WFH-0104,Windows,DELL,Optiplex 3060,NO
8H4L942,BGA1-WFH-0111,Windows,DELL,Optiplex 3070,NO
217XBH2,CLO1-WFH-0106,Windows,DELL,Optiplex 3080,YES
CDJ7M82,BGA1-WFH-0139,Windows,DELL,Optiplex 3070,NO
FV93XK2,BGA1-WFH-0018,Windows,DELL,Optiplex 3060,NO
HLTTR22,MDE1-WFH-0061,Windows,DELL,Optiplex 3060,NO
BR06HK2,MDE1-WFH-0020,Windows,DELL,Optiplex 3080,NO
49MZWK2,BGA1-WFH-0006,Windows,DELL,Optiplex 3080,NO
9Z39DZ1,BGA1-WFH-0095,Windows,DELL,Optiplex 3080,NO
1KYFXM2,BGA1-WFH-0113,Windows,DELL,Optiplex 3070,YES
2M1Z0M2,BAQ1-WFH-0012,Windows,DELL,Optiplex 3070,NO
21QW7M2,BAQ1-WFH-0063,Windows,DELL,Optiplex 3060,NO
2NFXCH2,BGA1-WFH-0141,Windows,DELL,Optiplex 3060,NO
5T8D8C2,BGA1-WFH-0125,Windows,DELL,Optiplex 3070,YES
2V9L7M2,MDE1-WFH-0041,Windows,DELL,Optiplex 3060,NO
