HostName,SerialNumber,OS,Brand,Model,isLaptop
BOG1-CH03-W,4C2L7X2,Windows,Dell,Optiplex 7040,NO
BOG1-WFH-3145,3HMP7X2,Windows,Dell,Optiplex 7041,NO
BOG1-CA05-W,J6XXZV2,Windows,Dell,Optiplex 7042,NO
BOG1-WFH-3192,1SSL423,Windows,Dell,Optiplex 7043,NO
BOG1-WFH-4336,8CG8354XSB,Windows,Dell,Optiplex 7044,NO
BOG1-WFH-4244,8CG8311VJW,Windows,Dell,Optiplex 7045,NO
BOG1-WFH-4355,8CG8325DN1,Windows,Dell,Optiplex 7046,NO
BOG1-WFH-4190,8CG8343K84,Windows,Dell,Optiplex 7047,NO
BOG1-WFH-4360,8CG824B2TP,Windows,Dell,Optiplex 7048,NO
BOG1-WFH-3476,4BWQ7X2,Windows,Dell,Optiplex 7049,NO
BOG1-WFH-3237,16R1H63,Windows,Dell,Optiplex 7050,NO
BOG1-CI09-W,9J6Y7X2,Windows,Dell,Optiplex 7051,NO
BOG1-TR1-17,84W23W2,Windows,Dell,Optiplex 7052,NO
BOG1-TR1-06,85043W2,Windows,Dell,Optiplex 7053,NO
BOG1-WFH-3684,4VWRB3,Windows,Dell,Optiplex 7054,NO
BOG1-WFH-3359,JSSL423,Windows,Dell,Optiplex 7055,NO
